date,time_local,haul_id,fish_id,lat,lon,locality,species,name_common,length,weight
1997-5-20,9:40,1001,6,58.19,-134.2,Taku_Inlet,Platichthys_stellatus,Starry_flounder,347,500
1997-5-20,9:40,1001,7,58.19,-134.2,Taku_Inlet,Platichthys_stellatus,Starry_flounder,341,430
1997-5-20,9:40,1001,8,58.19,-134.2,Taku_Inlet,Platichthys_stellatus,Starry_flounder,339,459
1997-5-20,9:40,1001,9,58.19,-134.2,Taku_Inlet,Platichthys_stellatus,Starry_flounder,337,398
1997-5-20,9:40,1001,10,58.19,-134.2,Taku_Inlet,Platichthys_stellatus,Starry_flounder,309,325
1997-5-21,8:41,1004,1,58.16,-135.04,Upper_Chatham,Oncorhynchus_tshawytscha,Chinook_Imm.,310,410
1997-5-21,8:41,1004,2,58.16,-135.04,Upper_Chatham,Oncorhynchus_tshawytscha,Chinook_Imm.,285,285
1997-5-21,8:41,1004,3,58.16,-135.04,Upper_Chatham,Oncorhynchus_tshawytscha,Chinook_Imm.,284,302
1997-5-21,8:41,1004,4,58.16,-135.04,Upper_Chatham,Oncorhynchus_tshawytscha,Chinook_Imm.,301,357
1997-5-21,10:33,1005,1,58.13,-135.07,Upper_Chatham,Oncorhynchus_tshawytscha,Chinook_Imm.,321,409
1997-5-21,12:54,1006,1,58.1,-135.02,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,550,980
1997-5-21,12:54,1006,2,58.1,-135.02,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,522,890
1997-5-21,12:54,1006,3,58.1,-135.02,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,537,1050
1997-5-21,14:47,1007,2,58.08,-135.0,Upper_Chatham,Oncorhynchus_tshawytscha,Chinook_Imm.,310,395
1997-5-21,14:47,1007,3,58.08,-135.0,Upper_Chatham,Oncorhynchus_tshawytscha,Chinook_Imm.,311,365
1997-5-21,14:47,1007,4,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,489,900
1997-5-21,14:47,1007,5,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,516,840
1997-5-21,14:47,1007,6,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,398,470
1997-5-21,14:47,1007,7,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,355,330
1997-5-21,14:47,1007,8,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,493,950
1997-5-21,14:47,1007,9,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,523,910
1997-5-21,14:47,1007,10,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,534,895
1997-5-21,14:47,1007,11,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,489,895
1997-5-21,14:47,1007,12,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,502,890
1997-5-21,14:47,1007,13,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,411,1100
1997-5-21,14:47,1007,14,58.08,-135.0,Upper_Chatham,Theragra_chalcogramma,Walleye_pollock,510,510
1997-5-22,10:56,1009,1,58.21,-137.28,Icy_Point,Oncorhynchus_tshawytscha,Chinook_Imm.,359,650
1997-5-22,10:56,1009,2,58.21,-137.28,Icy_Point,Oncorhynchus_tshawytscha,Chinook_Imm.,324,460
1997-5-22,10:56,1009,3,58.21,-137.28,Icy_Point,Oncorhynchus_tshawytscha,Chinook_Imm.,250,205
1997-5-22,13:13,1010,1,58.09,-137.45,Icy_Point,Oncorhynchus_tshawytscha,Chinook_Imm.,325,460
1997-5-24,8:26,1016,1,58.22,-135.53,Icy_Strait,Oncorhynchus_tshawytscha,Chinook_Imm.,314,423
1997-5-24,8:26,1016,3,58.22,-135.53,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,255,110
1997-5-24,8:26,1016,4,58.22,-135.53,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,507,900
1997-5-24,10:3,1017,1,58.24,-135.49,Icy_Strait,Oncorhynchus_tshawytscha,Chinook_Imm.,311,380
1997-5-24,10:3,1017,2,58.24,-135.49,Icy_Strait,Oncorhynchus_tshawytscha,Chinook_Imm.,271,290
1997-5-24,10:3,1017,3,58.24,-135.49,Icy_Strait,Oncorhynchus_tshawytscha,Chinook_Imm.,318,440
1997-5-24,10:3,1017,4,58.24,-135.49,Icy_Strait,Oncorhynchus_tshawytscha,Chinook_Imm.,269,260
1997-5-24,10:3,1017,5,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,318,282
1997-5-24,10:3,1017,6,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,353,293
1997-5-24,10:3,1017,7,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,327,263
1997-5-24,10:3,1017,8,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,358,345
1997-5-24,10:3,1017,9,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,367,350
1997-5-24,10:3,1017,10,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,347,302
1997-5-24,10:3,1017,11,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,350,296
1997-5-24,10:3,1017,12,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,355,303
1997-5-24,10:3,1017,13,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,268,138
1997-5-24,10:3,1017,14,58.24,-135.49,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,351,313
1997-5-24,12:7,1018,1,58.25,-135.44,Icy_Strait,Oncorhynchus_tshawytscha,Chinook_Imm.,326,505
1997-5-24,12:7,1018,2,58.25,-135.44,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,516,828
1997-5-24,12:7,1018,3,58.25,-135.44,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,491,780
1997-5-24,12:7,1018,4,58.25,-135.44,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,542,852
1997-5-24,12:7,1018,5,58.25,-135.44,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,523,870
1997-5-24,12:7,1018,6,58.25,-135.44,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,517,909
1997-5-24,12:7,1018,7,58.25,-135.44,Icy_Strait,Theragra_chalcogramma,Walleye_pollock,546,1008
1997-5-25,8:23,1020,1,58.35,-134.73,Inshore,Oncorhynchus_tshawytscha,Chinook_Imm.,238,154
1997-5-25,8:23,1020,2,58.35,-134.73,Inshore,Trichodon_trichodon,Pac._Sandfish,121,22
1997-5-25,8:23,1020,3,58.35,-134.73,Inshore,Trichodon_trichodon,Pac._Sandfish,135,32
1997-5-25,8:23,1020,4,58.35,-134.73,Inshore,Trichodon_trichodon,Pac._Sandfish,139,35
1997-5-25,8:23,1020,5,58.35,-134.73,Inshore,Trichodon_trichodon,Pac._Sandfish,218,176
1997-5-25,8:23,1020,6,58.35,-134.73,Inshore,Trichodon_trichodon,Pac._Sandfish,140,31
1997-5-25,8:23,1020,7,58.35,-134.73,Inshore,Trichodon_trichodon,Pac._Sandfish,145,45
